admin0_code,date,cases,deaths
AT,2020-02-24,1,0
AT,2020-02-25,2,0
AT,2020-02-26,4,0
AT,2020-02-27,6,0
AT,2020-02-28,8,0
AT,2020-02-29,10,0
AT,2020-03-01,12,0
AT,2020-03-02,28,0
AT,2020-03-03,44,0
AT,2020-03-04,60,0
AT,2020-03-05,76,0
AT,2020-03-06,92,0
AT,2020-03-07,109,0
AT,2020-03-08,126,0
AT,2020-03-09,250,0
AT,2020-03-10,375,0
AT,2020-03-11,500,0
AT,2020-03-12,625,0
AT,2020-03-13,750,0
AT,2020-03-14,875,1
AT,2020-03-15,1000,2
AT,2020-03-16,1438,6
AT,2020-03-17,1876,10
AT,2020-03-18,2314,14
AT,2020-03-19,2752,18
AT,2020-03-20,3190,23
AT,2020-03-21,3629,28
AT,2020-03-22,4068,33
AT,2020-03-23,4800,47
AT,2020-03-24,5532,61
AT,2020-03-25,6264,75
AT,2020-03-26,6997,89
AT,2020-03-27,7730,104
AT,2020-03-28,8463,119
AT,2020-03-29,9196,134
AT,2020-03-30,9641,151
AT,2020-03-31,10086,169
AT,2020-04-01,10531,187
AT,2020-04-02,10976,205
AT,2020-04-03,11421,223
AT,2020-04-04,11866,241
AT,2020-04-05,12312,259
AT,2020-04-06,12574,280
AT,2020-04-07,12836,301
AT,2020-04-08,13098,322
AT,2020-04-09,13361,343
AT,2020-04-10,13624,365
AT,2020-04-11,13887,387
AT,2020-04-12,14150,409
AT,2020-04-13,14247,425
AT,2020-04-14,14344,442
AT,2020-04-15,14442,459
AT,2020-04-16,14540,476
AT,2020-04-17,14638,493
AT,2020-04-18,14736,510
AT,2020-04-19,14834,527
AT,2020-04-20,14898,537
AT,2020-04-21,14962,547
AT,2020-04-22,15026,558
AT,2020-04-23,15090,569
AT,2020-04-24,15154,580
AT,2020-04-25,15218,591
AT,2020-04-26,15282,602
AT,2020-04-27,15326,608
AT,2020-04-28,15370,614
AT,2020-04-29,15414,620
AT,2020-04-30,15459,626
AT,2020-05-01,15504,632
AT,2020-05-02,15549,638
AT,2020-05-03,15594,644
AT,2020-05-04,15631,647
AT,2020-05-05,15668,650
AT,2020-05-06,15706,653
AT,2020-05-07,15744,656
AT,2020-05-08,15782,660
AT,2020-05-09,15820,664
AT,2020-05-10,15858,668
AT,2020-05-11,15905,669
AT,2020-05-12,15953,670
AT,2020-05-13,16001,671
AT,2020-05-14,16049,672
AT,2020-05-15,16097,673
AT,2020-05-16,16145,675
AT,2020-05-17,16193,677
AT,2020-05-18,16230,679
AT,2020-05-19,16268,681
AT,2020-05-20,16306,683
AT,2020-05-21,16344,685
AT,2020-05-22,16382,687
AT,2020-05-23,16420,689
AT,2020-05-24,16458,691
AT,2020-05-25,16485,691
AT,2020-05-26,16513,691
AT,2020-05-27,16541,691
AT,2020-05-28,16569,692
AT,2020-05-29,16597,693
AT,2020-05-30,16625,694
AT,2020-05-31,16653,695
AT,2020-06-01,16685,696
AT,2020-06-02,16717,697
AT,2020-06-03,16749,698
AT,2020-06-04,16781,699
AT,2020-06-05,16814,700
AT,2020-06-06,16847,701
AT,2020-06-07,16880,702
AT,2020-06-08,16904,703
AT,2020-06-09,16928,704
AT,2020-06-10,16952,705
AT,2020-06-11,16977,706
AT,2020-06-12,17002,707
AT,2020-06-13,17027,708
AT,2020-06-14,17052,710
AT,2020-06-15,17087,711
AT,2020-06-16,17122,712
AT,2020-06-17,17157,714
AT,2020-06-18,17192,716
AT,2020-06-19,17228,718
AT,2020-06-20,17264,720
AT,2020-06-21,17300,722
AT,2020-06-22,17347,723
AT,2020-06-23,17395,724
AT,2020-06-24,17443,725
AT,2020-06-25,17491,726
AT,2020-06-26,17539,727
AT,2020-06-27,17587,729
AT,2020-06-28,17635,731
AT,2020-06-29,17726,731
AT,2020-06-30,17817,731
AT,2020-07-01,17908,731
AT,2020-07-02,17999,731
AT,2020-07-03,18091,731
AT,2020-07-04,18183,732
AT,2020-07-05,18275,733
AT,2020-07-06,18360,733
AT,2020-07-07,18445,733
AT,2020-07-08,18530,733
AT,2020-07-09,18615,733
AT,2020-07-10,18700,734
AT,2020-07-11,18785,735
AT,2020-07-12,18871,736
AT,2020-07-13,18983,736
AT,2020-07-14,19095,736
AT,2020-07-15,19207,736
AT,2020-07-16,19319,736
AT,2020-07-17,19431,736
AT,2020-07-18,19543,737
AT,2020-07-19,19655,738
AT,2020-07-20,19779,738
AT,2020-07-21,19903,738
AT,2020-07-22,20027,738
AT,2020-07-23,20152,739
AT,2020-07-24,20277,740
AT,2020-07-25,20402,741
AT,2020-07-26,20527,742
AT,2020-07-27,20640,742
AT,2020-07-28,20753,742
AT,2020-07-29,20866,743
AT,2020-07-30,20979,744
AT,2020-07-31,21093,745
AT,2020-08-01,21207,746
AT,2020-08-02,21321,747
AT,2020-08-03,21424,747
AT,2020-08-04,21527,747
AT,2020-08-05,21630,747
AT,2020-08-06,21733,748
AT,2020-08-07,21836,749
AT,2020-08-08,21939,750
AT,2020-08-09,22043,751
AT,2020-08-10,22251,751
AT,2020-08-11,22460,752
AT,2020-08-12,22669,753
AT,2020-08-13,22878,754
AT,2020-08-14,23087,755
AT,2020-08-15,23296,756
AT,2020-08-16,23505,757
AT,2020-08-17,23777,757
AT,2020-08-18,24049,757
AT,2020-08-19,24321,757
AT,2020-08-20,24593,757
AT,2020-08-21,24866,758
AT,2020-08-22,25139,759
AT,2020-08-23,25412,760
AT,2020-08-24,25689,760
AT,2020-08-25,25966,760
AT,2020-08-26,26243,760
AT,2020-08-27,26520,760
AT,2020-08-28,26797,760
AT,2020-08-29,27075,760
AT,2020-08-30,27353,761
AT,2020-08-31,27677,761
AT,2020-09-01,28001,761
AT,2020-09-02,28325,761
AT,2020-09-03,28649,762
AT,2020-09-04,28973,763
AT,2020-09-05,29297,764
AT,2020-09-06,29621,765
AT,2020-09-07,30192,766
AT,2020-09-08,30763,767
AT,2020-09-09,31334,768
AT,2020-09-10,31905,770
AT,2020-09-11,32476,772
AT,2020-09-12,33047,774
AT,2020-09-13,33618,776
AT,2020-09-14,34362,778
AT,2020-09-15,35106,780
AT,2020-09-16,35850,782
AT,2020-09-17,36594,784
AT,2020-09-18,37339,786
AT,2020-09-19,38084,788
AT,2020-09-20,38829,791
AT,2020-09-21,39494,794
AT,2020-09-22,40159,797
AT,2020-09-23,40824,800
AT,2020-09-24,41489,804
AT,2020-09-25,42154,808
AT,2020-09-26,42819,812
AT,2020-09-27,43485,816
AT,2020-09-28,44284,820
AT,2020-09-29,45083,824
AT,2020-09-30,45882,828
AT,2020-10-01,46682,832
AT,2020-10-02,47482,836
