date,cases,deaths
2020-01-05,59,0
2020-01-06,59,0
2020-01-07,59,0
2020-01-08,59,0
2020-01-09,59,0
2020-01-10,59,0
2020-01-11,59,0
2020-01-12,60,1
2020-01-13,85,1
2020-01-14,110,1
2020-01-15,135,1
2020-01-16,160,1
2020-01-17,185,1
2020-01-18,210,2
2020-01-19,240,3
2020-01-20,602,14
2020-01-21,966,25
2020-01-22,1332,36
2020-01-23,1701,47
2020-01-24,2072,58
2020-01-25,2445,69
2020-01-26,2821,81
2020-01-27,4891,121
2020-01-28,6963,161
2020-01-29,9036,201
2020-01-30,11113,241
2020-01-31,13194,281
2020-02-01,15281,321
2020-02-02,17373,362
2020-02-03,20665,440
2020-02-04,23960,518
2020-02-05,27258,596
2020-02-06,30558,674
2020-02-07,33861,752
2020-02-08,37165,831
2020-02-09,40475,910
2020-02-10,44827,1033
2020-02-11,49180,1156
2020-02-12,53533,1279
2020-02-13,57889,1402
2020-02-14,62247,1525
2020-02-15,66611,1648
2020-02-16,70980,1775
2020-02-17,72120,1894
2020-02-18,73261,2013
2020-02-19,74402,2133
2020-02-20,75545,2253
2020-02-21,76690,2373
2020-02-22,77836,2494
2020-02-23,78992,2616
2020-02-24,80322,2673
2020-02-25,81658,2730
2020-02-26,83001,2789
2020-02-27,84349,2850
2020-02-28,85707,2911
2020-02-29,87070,2973
2020-03-01,88454,3040
2020-03-02,91529,3144
2020-03-03,94608,3249
2020-03-04,97694,3357
2020-03-05,100787,3465
2020-03-06,103895,3575
2020-03-07,107012,3689
2020-03-08,110281,3807
2020-03-09,119097,4180
2020-03-10,127928,4556
2020-03-11,136768,4935
2020-03-12,145619,5319
2020-03-13,154478,5713
2020-03-14,163352,6112
2020-03-15,172770,6525
2020-03-16,198860,7678
2020-03-17,224960,8836
2020-03-18,251079,10003
2020-03-19,277217,11177
2020-03-20,303376,12361
2020-03-21,329555,13560
2020-03-22,356078,14787
2020-03-23,411316,17600
2020-03-24,466573,20430
2020-03-25,521854,23266
2020-03-26,577163,26110
2020-03-27,632489,28970
2020-03-28,687848,31843
2020-03-29,743517,34766
2020-03-30,818901,39945
2020-03-31,894310,45133
2020-04-01,969743,50339
2020-04-02,1045199,55564
2020-04-03,1120682,60808
2020-04-04,1196196,66078
2020-04-05,1271779,71381
2020-04-06,1351190,77804
2020-04-07,1430626,84234
2020-04-08,1510096,90676
2020-04-09,1589585,97141
2020-04-10,1669100,103631
2020-04-11,1748650,110149
2020-04-12,1828236,116701
2020-04-13,1904984,124064
2020-04-14,1981752,131438
2020-04-15,2058544,138824
2020-04-16,2135362,146222
2020-04-17,2212206,153635
2020-04-18,2289081,161073
2020-04-19,2365986,168546
2020-04-20,2446197,174406
2020-04-21,2526430,180281
2020-04-22,2606677,186173
2020-04-23,2686955,192080
2020-04-24,2767260,198000
2020-04-25,2847602,203944
2020-04-26,2927980,209919
2020-04-27,3006591,215261
2020-04-28,3085229,220622
2020-04-29,3163890,225995
2020-04-30,3242578,231384
2020-05-01,3321291,236793
2020-05-02,3400023,242227
2020-05-03,3478866,247690
2020-05-04,3563208,252589
2020-05-05,3647569,257498
2020-05-06,3731952,262420
2020-05-07,3816365,267362
2020-05-08,3900807,272322
2020-05-09,3985276,277309
2020-05-10,4069772,282318
2020-05-11,4157313,286809
2020-05-12,4244888,291314
2020-05-13,4332483,295839
2020-05-14,4420095,300379
2020-05-15,4507732,304935
2020-05-16,4595397,309511
2020-05-17,4683089,314112
2020-05-18,4782451,318104
2020-05-19,4881833,322101
2020-05-20,4981243,326113
2020-05-21,5080681,330141
2020-05-22,5180139,334184
2020-05-23,5279618,338253
2020-05-24,5379134,342353
2020-05-25,5488381,346389
2020-05-26,5597654,350437
2020-05-27,5706944,354502
2020-05-28,5816265,358584
2020-05-29,5925616,362686
2020-05-30,6034991,366806
2020-05-31,6144395,370951
2020-06-01,6264694,375230
2020-06-02,6385016,379522
2020-06-03,6505364,383826
2020-06-04,6625737,388147
2020-06-05,6746130,392482
2020-06-06,6866551,396835
2020-06-07,6987007,401222
2020-06-08,7116250,405432
2020-06-09,7245517,409651
2020-06-10,7374811,413886
2020-06-11,7504126,418139
2020-06-12,7633474,422418
2020-06-13,7762846,426725
2020-06-14,7892242,431048
2020-06-15,8041856,435942
2020-06-16,8191491,440850
2020-06-17,8341148,445766
2020-06-18,8490821,450695
2020-06-19,8640518,455641
2020-06-20,8790248,460615
2020-06-21,8940014,465620
2020-06-22,9109206,470245
2020-06-23,9278428,474883
2020-06-24,9447668,479542
2020-06-25,9616932,484217
2020-06-26,9786218,488908
2020-06-27,9955534,493624
2020-06-28,10124878,498362
2020-06-29,10315683,502872
2020-06-30,10506516,507404
2020-07-01,10697376,511949
2020-07-02,10888254,516510
2020-07-03,11079162,521093
2020-07-04,11270096,525691
2020-07-05,11461059,530316
2020-07-06,11670499,535177
2020-07-07,11879963,540057
2020-07-08,12089444,544959
2020-07-09,12298960,549874
2020-07-10,12508500,554806
2020-07-11,12718068,559755
2020-07-12,12927662,564732
2020-07-13,13155685,569943
2020-07-14,13383730,575161
2020-07-15,13611800,580392
2020-07-16,13839906,585638
2020-07-17,14068038,590897
2020-07-18,14296194,596186
2020-07-19,14524380,601502
2020-07-20,14777922,607562
2020-07-21,15031491,613632
2020-07-22,15285086,619724
2020-07-23,15538702,625835
2020-07-24,15792349,631963
2020-07-25,16046020,638118
2020-07-26,16299721,644291
2020-07-27,16563774,649935
2020-07-28,16827860,655594
2020-07-29,17091961,661267
2020-07-30,17356102,666954
2020-07-31,17620271,672659
2020-08-01,17884464,678394
2020-08-02,18148683,684164
2020-08-03,18411838,690086
2020-08-04,18675026,696022
2020-08-05,18938233,701971
2020-08-06,19201466,707937
2020-08-07,19464731,713915
2020-08-08,19728018,719919
2020-08-09,19991336,725961
2020-08-10,20259833,732171
2020-08-11,20528360,738394
2020-08-12,20796917,744628
2020-08-13,21065502,750883
2020-08-14,21334114,757156
2020-08-15,21602741,763455
2020-08-16,21871395,769783
2020-08-17,22128567,775248
2020-08-18,22385759,780727
2020-08-19,22642984,786223
2020-08-20,22900238,791740
2020-08-21,23157511,797278
2020-08-22,23414806,802838
2020-08-23,23672134,808426
2020-08-24,23938349,813794
2020-08-25,24204597,819179
2020-08-26,24470872,824582
2020-08-27,24737172,830003
2020-08-28,25003491,835446
2020-08-29,25269839,840910
2020-08-30,25536210,846406
2020-08-31,25813310,852401
2020-09-01,26090440,858410
2020-09-02,26367599,864439
2020-09-03,26644782,870487
2020-09-04,26921995,876555
2020-09-05,27199229,882653
2020-09-06,27476490,888776
2020-09-07,27755691,893784
2020-09-08,28034917,898803
2020-09-09,28314169,903842
2020-09-10,28593444,908903
2020-09-11,28872756,913979
2020-09-12,29152092,919078
2020-09-13,29431461,924205
2020-09-14,29730442,929393
2020-09-15,30029448,934598
2020-09-16,30328479,939821
2020-09-17,30627537,945061
2020-09-18,30926622,950320
2020-09-19,31225739,955599
2020-09-20,31524886,960909
2020-09-21,31827875,966200
2020-09-22,32130894,971510
2020-09-23,32433937,976833
2020-09-24,32737005,982175
2020-09-25,33040095,987540
2020-09-26,33343212,992924
2020-09-27,33646364,998331
2020-09-28,33949171,1003881
2020-09-29,34252004,1009438
2020-09-30,34554863,1015018
2020-10-01,34857752,1020620
2020-10-02,35160671,1026246
2020-10-03,35463620,1031899
2020-10-04,35766592,1037571
2020-10-05,36104117,1043169
2020-10-06,36441666,1048783
2020-10-07,36779238,1054418
2020-10-08,37116837,1060071
2020-10-09,37454466,1065743
2020-10-10,37792127,1071449
2020-10-11,38129815,1077181
2020-10-12,38498755,1082418
2020-10-13,38867715,1087672
2020-10-14,39236708,1092940
2020-10-15,39605730,1098226
2020-10-16,39974780,1103537
2020-10-17,40343855,1108876
2020-10-18,40712968,1114243
2020-10-19,41155997,1120016
2020-10-20,41599057,1125804
2020-10-21,42042148,1131607
2020-10-22,42485264,1137427
2020-10-23,42928409,1143270
2020-10-24,43371580,1149140
2020-10-25,43814781,1155042
2020-10-26,44313145,1161590
2020-10-27,44811536,1168154
2020-10-28,45309958,1174734
2020-10-29,45808402,1181331
2020-10-30,46306874,1187946
2020-10-31,46805374,1194588
2020-11-01,47303901,1201261
2020-11-02,47865104,1209236
2020-11-03,48426337,1217231
2020-11-04,48987604,1225239
2020-11-05,49548893,1233261
2020-11-06,50110214,1241307
2020-11-07,50671555,1249379
2020-11-08,51232930,1257484
2020-11-09,51822452,1266392
2020-11-10,52411996,1275318
2020-11-11,53001572,1284261
2020-11-12,53591170,1293226
2020-11-13,54180796,1302211
2020-11-14,54770450,1311221
2020-11-15,55360140,1320259
2020-11-16,55957427,1329961
2020-11-17,56554734,1339684
2020-11-18,57152070,1349424
2020-11-19,57749434,1359192
2020-11-20,58346829,1368974
2020-11-21,58944257,1378772
2020-11-22,59541713,1388607
2020-11-23,60126471,1398804
2020-11-24,60711245,1409024
2020-11-25,61296046,1419262
2020-11-26,61880870,1429514
2020-11-27,62465717,1439783
2020-11-28,63050610,1450074
2020-11-29,63635543,1460391
2020-11-30,64248733,1471226
2020-12-01,64861946,1482077
2020-12-02,65475191,1492949
2020-12-03,66088464,1503837
2020-12-04,66701766,1514743
2020-12-05,67315102,1525673
2020-12-06,67928465,1536642
2020-12-07,68559127,1547635
2020-12-08,69189812,1558646
2020-12-09,69820522,1569674
2020-12-10,70451261,1580722
2020-12-11,71082034,1591797
2020-12-12,71712835,1602894
2020-12-13,72343668,1614022
2020-12-14,72996484,1625554
2020-12-15,73649322,1637110
2020-12-16,74302192,1648676
2020-12-17,74955098,1660271
2020-12-18,75608020,1671889
2020-12-19,76260975,1683522
2020-12-20,76913963,1695182
2020-12-21,77508596,1705891
2020-12-22,78103256,1716626
2020-12-23,78697945,1727381
2020-12-24,79292667,1738155
2020-12-25,79887415,1748944
2020-12-26,80482192,1759755
2020-12-27,81076995,1770599
2020-12-28,81680516,1781367
2020-12-29,82284067,1792152
2020-12-30,82887643,1802963
2020-12-31,83491255,1813789
2021-01-01,84094902,1824629
2021-01-02,84698578,1835492
2021-01-03,85302275,1846391
2021-01-04,86057853,1859777
2021-01-05,86813459,1873180
2021-01-06,87569095,1886598
2021-01-07,88324755,1900035
2021-01-08,89080443,1913494
2021-01-09,89836160,1926975
2021-01-10,90591908,1940495
2021-01-11,91270266,1954078
2021-01-12,91948653,1967685
2021-01-13,92627066,1981310
2021-01-14,93305505,1994958
2021-01-15,93983977,2008621
2021-01-16,94662473,2022303
2021-01-17,95340996,2036016
2021-01-18,95959978,2050409
2021-01-19,96579004,2064822
2021-01-20,97198055,2079266
2021-01-21,97817134,2093721
2021-01-22,98436243,2108195
2021-01-23,99055373,2122693
2021-01-24,99674530,2137223
2021-01-25,100204926,2151212
2021-01-26,100735348,2165217
2021-01-27,101265797,2179244
2021-01-28,101796279,2193289
2021-01-29,102326795,2207349
2021-01-30,102857338,2221442
2021-01-31,103387912,2235568
2021-02-01,103819730,2247884
2021-02-02,104251576,2260225
2021-02-03,104683446,2272577
