who_region_code,date,cases,deaths
EURO,2020-01-05,11,0
EURO,2020-01-06,12,0
EURO,2020-01-07,13,0
EURO,2020-01-08,15,0
EURO,2020-01-09,17,0
EURO,2020-01-10,19,0
EURO,2020-01-11,21,0
EURO,2020-01-12,23,0
EURO,2020-01-13,24,0
EURO,2020-01-14,25,0
EURO,2020-01-15,26,0
EURO,2020-01-16,27,0
EURO,2020-01-17,28,0
EURO,2020-01-18,30,0
EURO,2020-01-19,33,0
EURO,2020-01-20,35,0
EURO,2020-01-21,37,0
EURO,2020-01-22,39,0
EURO,2020-01-23,41,0
EURO,2020-01-24,44,0
EURO,2020-01-25,47,0
EURO,2020-01-26,53,0
EURO,2020-01-27,55,0
EURO,2020-01-28,58,0
EURO,2020-01-29,61,0
EURO,2020-01-30,64,0
EURO,2020-01-31,68,0
EURO,2020-02-01,76,0
EURO,2020-02-02,85,1
EURO,2020-02-03,89,1
EURO,2020-02-04,94,1
EURO,2020-02-05,100,1
EURO,2020-02-06,106,1
EURO,2020-02-07,112,1
EURO,2020-02-08,120,1
EURO,2020-02-09,132,1
EURO,2020-02-10,134,1
EURO,2020-02-11,136,1
EURO,2020-02-12,139,1
EURO,2020-02-13,143,1
EURO,2020-02-14,147,1
EURO,2020-02-15,151,1
EURO,2020-02-16,155,2
EURO,2020-02-17,182,3
EURO,2020-02-18,210,4
EURO,2020-02-19,238,5
EURO,2020-02-20,268,6
EURO,2020-02-21,298,7
EURO,2020-02-22,328,8
EURO,2020-02-23,361,11
EURO,2020-02-24,711,22
EURO,2020-02-25,1065,33
EURO,2020-02-26,1421,44
EURO,2020-02-27,1778,56
EURO,2020-02-28,2138,68
EURO,2020-02-29,2499,80
EURO,2020-03-01,2865,92
EURO,2020-03-02,4696,193
EURO,2020-03-03,6530,294
EURO,2020-03-04,8365,396
EURO,2020-03-05,10206,499
EURO,2020-03-06,12053,603
EURO,2020-03-07,13907,708
EURO,2020-03-08,15764,814
EURO,2020-03-09,23566,1249
EURO,2020-03-10,31374,1684
EURO,2020-03-11,39190,2120
EURO,2020-03-12,47011,2558
EURO,2020-03-13,54833,2999
EURO,2020-03-14,62661,3444
EURO,2020-03-15,70489,3894
EURO,2020-03-16,88688,5187
EURO,2020-03-17,106889,6485
EURO,2020-03-18,125093,7788
EURO,2020-03-19,143299,9093
EURO,2020-03-20,161510,10401
EURO,2020-03-21,179726,11712
EURO,2020-03-22,197951,13029
EURO,2020-03-23,226310,15536
EURO,2020-03-24,254673,18045
EURO,2020-03-25,283040,20557
EURO,2020-03-26,311413,23071
EURO,2020-03-27,339791,25588
EURO,2020-03-28,368174,28106
EURO,2020-03-29,396560,30633
EURO,2020-03-30,423438,33559
EURO,2020-03-31,450322,36487
EURO,2020-04-01,477213,39416
EURO,2020-04-02,504106,42350
EURO,2020-04-03,531002,45289
EURO,2020-04-04,557904,48238
EURO,2020-04-05,584809,51191
EURO,2020-04-06,607486,53923
EURO,2020-04-07,630167,56659
EURO,2020-04-08,652850,59398
EURO,2020-04-09,675537,62140
EURO,2020-04-10,698229,64886
EURO,2020-04-11,720928,67639
EURO,2020-04-12,743630,70397
EURO,2020-04-13,759991,72609
EURO,2020-04-14,776360,74825
EURO,2020-04-15,792734,77043
EURO,2020-04-16,809111,79265
EURO,2020-04-17,825491,81487
EURO,2020-04-18,841874,83714
EURO,2020-04-19,858261,85948
EURO,2020-04-20,870700,87580
EURO,2020-04-21,883146,89216
EURO,2020-04-22,895594,90856
EURO,2020-04-23,908046,92497
EURO,2020-04-24,920501,94140
EURO,2020-04-25,932961,95789
EURO,2020-04-26,945425,97442
EURO,2020-04-27,953350,98564
EURO,2020-04-28,961279,99687
EURO,2020-04-29,969211,100814
EURO,2020-04-30,977148,101945
EURO,2020-05-01,985088,103082
EURO,2020-05-02,993033,104224
EURO,2020-05-03,1000984,105370
EURO,2020-05-04,1007291,106194
EURO,2020-05-05,1013600,107021
EURO,2020-05-06,1019910,107853
EURO,2020-05-07,1026224,108689
EURO,2020-05-08,1032541,109530
EURO,2020-05-09,1038867,110377
EURO,2020-05-10,1045198,111227
EURO,2020-05-11,1050275,111794
EURO,2020-05-12,1055359,112365
EURO,2020-05-13,1060449,112936
EURO,2020-05-14,1065544,113511
EURO,2020-05-15,1070641,114092
EURO,2020-05-16,1075742,114680
EURO,2020-05-17,1080847,115271
EURO,2020-05-18,1085391,115677
EURO,2020-05-19,1089938,116085
EURO,2020-05-20,1094492,116495
EURO,2020-05-21,1099050,116908
EURO,2020-05-22,1103615,117325
EURO,2020-05-23,1108184,117744
EURO,2020-05-24,1112755,118168
EURO,2020-05-25,1116739,118475
EURO,2020-05-26,1120728,118785
EURO,2020-05-27,1124721,119098
EURO,2020-05-28,1128719,119413
EURO,2020-05-29,1132721,119733
EURO,2020-05-30,1136728,120056
EURO,2020-05-31,1140739,120383
EURO,2020-06-01,1144517,120629
EURO,2020-06-02,1148296,120878
EURO,2020-06-03,1152078,121128
EURO,2020-06-04,1155863,121380
EURO,2020-06-05,1159653,121634
EURO,2020-06-06,1163448,121891
EURO,2020-06-07,1167250,122156
EURO,2020-06-08,1171175,122339
EURO,2020-06-09,1175105,122525
EURO,2020-06-10,1179041,122714
EURO,2020-06-11,1182981,122905
EURO,2020-06-12,1186923,123100
EURO,2020-06-13,1190869,123299
EURO,2020-06-14,1194817,123505
EURO,2020-06-15,1198988,123664
EURO,2020-06-16,1203162,123827
EURO,2020-06-17,1207339,123991
EURO,2020-06-18,1211521,124162
EURO,2020-06-19,1215710,124336
EURO,2020-06-20,1219903,124511
EURO,2020-06-21,1224100,124690
EURO,2020-06-22,1228301,124810
EURO,2020-06-23,1232504,124932
EURO,2020-06-24,1236713,125058
EURO,2020-06-25,1240924,125186
EURO,2020-06-26,1245138,125317
EURO,2020-06-27,1249355,125448
EURO,2020-06-28,1253577,125586
EURO,2020-06-29,1257482,125687
EURO,2020-06-30,1261392,125790
EURO,2020-07-01,1265304,125896
EURO,2020-07-02,1269221,126004
EURO,2020-07-03,1273140,126115
EURO,2020-07-04,1277068,126227
EURO,2020-07-05,1281000,126342
EURO,2020-07-06,1285173,126428
EURO,2020-07-07,1289347,126519
EURO,2020-07-08,1293527,126612
EURO,2020-07-09,1297709,126709
EURO,2020-07-10,1301895,126809
EURO,2020-07-11,1306088,126910
EURO,2020-07-12,1310287,127015
EURO,2020-07-13,1315788,127097
EURO,2020-07-14,1321293,127180
EURO,2020-07-15,1326802,127265
EURO,2020-07-16,1332314,127352
EURO,2020-07-17,1337829,127443
EURO,2020-07-18,1343346,127535
EURO,2020-07-19,1348873,127634
EURO,2020-07-20,1356197,127721
EURO,2020-07-21,1363525,127810
EURO,2020-07-22,1370855,127900
EURO,2020-07-23,1378189,127995
EURO,2020-07-24,1385530,128090
EURO,2020-07-25,1392875,128190
EURO,2020-07-26,1400223,128296
EURO,2020-07-27,1409403,128398
EURO,2020-07-28,1418584,128503
EURO,2020-07-29,1427770,128611
